Empresa,Modalidade de apoio
Nanopol Inovação e Pesquisa de Compósitos Poliméricos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Thalita Braga,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Noreyni Christophe Grego Ndiaye,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Boltech Desenvolvimento de Sistemas e Tecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clyons Pesquisa e Desenvolvimento em Biotecnologia Inova Simples (IS),Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Prudenciatti e Ribeiro Pesquisa e Desenvolvimento Ltda - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clorovale Diamantes Indústria e Comércio Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Berrocal & Associados Soluções e Inovações Geofísicas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Directlight Indústria e Comércio de Produtos Eletroluminescentes Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Gene ID S/A,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vellyfarm Biossistemas Sociais Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Protech Pesquisa e Desenvolvimento Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Krabs Desenvolvimento em Biotecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nderma Pesquisa e Desenvolvimento Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inojossa Serviços de Fisioterapia e Ortopedia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dayse Alexia de Carvalho de Brito,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Innolution Sistemas de Informática Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agririsk Soluções em Gerenciamento de Risco Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brazilian Nano Feed Pesquisa e Desenvolvimento de Aditivos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Água da Mata Desenvolvimento Sustentável Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Plasmacro Indústria e Comércio de Polímeros Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
TR - Tecnologia em Radares Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Sepia Assessoria e Consultoria Educacional, Pesquisa e Desenvolvimento Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Marzieh Kadivar,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Alexandre Rodrigues da Silva Software,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Arthur Casulli de Oliveira,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Yago Lascane Consultoria em Pesquisa e Desenvolvimento de Produtos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
AFH Soluções Tecnológicas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dynamine Consultoria em Engenharia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
CLB Engenharia Consultiva S/S Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Marco Antonio Marques de Souza - EPP,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
R&R NovaBio Pesquisa e Desenvolvimento em Ciências Naturais Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ideelab Biotecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Guatifer Usinagem e Ferramentaria Ltda (Guatifer),Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Alberto Serviços e Comércio de Prótese Dentária Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agro Rede Bio - Tecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
AFH Soluções Tecnológicas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vigilantes do Sono - Qualidade de Vida e Tecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
BR Labs Indústria e Comércio em Sistemas de Lasers e Componentes Ópticos e Eletrônicos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Biobreyer Pesquisa e Desenvolvimento Científico Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
João Marcelo Robazzi Bignelli Valente Aguiar,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Br4science Assessoria Técnica Científica Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Technes Agrícola Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vigilantes do Sono - Qualidade de Vida e Tecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tezca Pesquisa e Desenvolvimento de Células Solares Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
ISystems Automação Industrial S/A,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Expertise Engenharia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Br4science Assessoria Técnica Científica Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clave Biotecnologia Serviços e Consultoria Ltda. - EPP,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Viegas Informática Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Luxtec Sistemas Ópticos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cesnas Materials Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Veridis Tecnologia da Informação Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mobwise Consultoria em Engenharia e Softwares Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Unigen Tecnologia do DNA Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clansoft Desenvolvimento de Software Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Accert Indústria, Comércio, Importação e Exportação em Química e Biotecnologia Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Rheabiotec Desenvolvimento, Produção e Comercialização de Produtos de Biotecnologia Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Alberto O'Farrill Vannini Pessina - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mario Cesar Souza e Silva,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tech Inovações Tecnológicas para a Agropecuária S/A (Filial),Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Alberto Serviços e Comércio de Prótese Dentária Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lychnoflora Pesquisa e Desenvolvimento em Produtos Naturais Ltda (Lychnoflora),Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Transfix Transplante de Embriões Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Qualicert Gestão e Certificação Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Stratexia Inovação, Indústria, Serviços, Importação e Exportação Eireli - ME",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tiago Milanin,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Millebolleblu Cosméticos Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Oralls Importação e Exportação Comercial Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inovamat Inovações em Materiais Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Partículas Desenvolvimento e Tecnologia em Materiais Ligno Celulósicos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pro Bio Pesquisa e Desenvolvimento Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cotec Tintas Serigráficas Ltda. - EPP,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Faz Verde Soluções Ambientais Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Solo Sapiens Indústria e Comércio de Inoculantes Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Micro Tube Ferramentaria de Precisão e Comércio Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Wmancer Technologies Desenvolvimento e Produção de Software Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
BR Labs Indústria e Comércio em Sistemas de Lasers e Componentes Ópticos e Eletrônicos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agricef Soluções Tecnológicas para Agricultura Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nantex Nanotecnologia Experimental Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
CEMSA - Centro de Espectrometria de Massas Aplicada Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Immunodot Indústria e Pesquisa de Produtos para Diagnóstico Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mira Pesquisa e Desenvolvimento Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Luis Henrique Guilherme,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Souza P&D Farmacêutico Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
TECE Tecnologia e Ciência Educacional Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lumintech Marcadores Ópticos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lumintech Marcadores Ópticos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Corollarium Tecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
DEBORA ZANONI DO PRADO 38315605879,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
3DTime Soluções Tridimensionais Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Multivácuo Aeroespacial Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Justy Biosolutions Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Protech Pesquisa e Desenvolvimento Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Paulo Daniel Leite Pesquisa e Desenvolvimento,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Karina Lucas da Silva Brandão,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Exactaderme Importação e Exportação Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kander Serviços Online e Intermediação de Educação e Conteúdo Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
GNJ - Consultoria e Desenvolvimento de Projetos Técnico-Científicos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
PHC Serviços Administrativos e Projetos Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
C O Egalon Consultoria - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Acta Visio Desenvolvimento em Visão Computacional Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Felipe Azevedo Moretti,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Atrium Assessoria Florestal Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
3T Biopolímeros Serviços de Pesquisa Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Felipe Azevedo Moretti,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
B A Lima Caracterização de Meios Filtrantes Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agrobee Soluções em Polinização e Sustentabilidade Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Atrium Assessoria Florestal Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
TagmaVisions Treinamentos Digitais Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Connecting Blocks Consultoria Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Biodiversita Serviços de Apoio Agrícola Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Smart Yeast - Pesquisa e Desenvolvimento Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Orbi Serviços de Internet Eireli,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cuidados Artemis Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nervera Serviços de Informática Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
R&R NovaBio Pesquisa e Desenvolvimento em Ciências Naturais Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
SOLPE - Soluções em Ciências e Engenharia de Petróleo Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tech Inovações Tecnológicas para a Agropecuária S/A,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Elo Verde Produtos Biológicos Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Radeco Consultoria Empresarial Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
DPR Engenharia Assessoria e Consultoria em Projetos da Área Petrolífera Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ideasfarm Produção e Eventos Eireli,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Thayla Morandi Ridolfi de Carvalho Curi,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Insilicall Softwares para P&D Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tallahassee Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Terra Azul Tecnologia de Polímeros Naturais Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
SpeechTera Desenvolvimento de Programas para Computadores Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
S R Engenharia e Sistemas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Savol Indústria e Comércio e Máquinas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Siaa Desenvolvimento de Sistemas Eireli - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Innovation Technology Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Afinko Soluções em Polímeros Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Safe Saúde Animal Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
AJT Biotecnologia Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Agroplanner Tecnologia, Planejamento e Gestão Agropecuária Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Keme Desenvolvimento e Comércio de Instrumentos Científicos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sistemas Inteligentes em Telecomunicações Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
RVT Serviços Administrativos Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Intecmat Indústria e Tecnologia em Materiais Compostos Poliméricos Ltda (InTecMat),Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"DEV Tecnologia, Indústria, Comércio, Manutenção de Equipamentos Ltda. - ME",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
BR Tecnologia em Bebidas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Xastre Peternela Consultoria Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioativos Naturais Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Elabora P&D, Computação e Sistemas de Informática Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Reciclapac Soluções para Embalagens Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cassio Ramos Aquicultura e Comércio - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Neogenys Diagnóstico Molecular Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
QGene Biotecnologia Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cotaltec Pesquisa e Desenvolvimento Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Metamorphosis Biotechnology Pesquisas Científicas Eireli,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tergos Pesquisa e Ensino Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Intecmat Indústria e Tecnologia em Materiais Compostos Poliméricos Ltda (InTecMat),Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cellco Biotec do Brasil Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tech Inovações Tecnológicas para a Agropecuária S/A,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Solve Biotechnology Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Futuro Florestal Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Siaa Desenvolvimento de Sistemas Eireli - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cogneti-Tec Sistemas Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Led Visual Médica Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Itera Inovação e Desenvolvimento Tecnológico Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
ANS Pharma Consultoria Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Chronuscamp Research Análises Termocronológicas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Flavia Pinheiro Zanotto,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Flavia Pinheiro Zanotto,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Prudenciatti e Ribeiro Pesquisa e Desenvolvimento Ltda - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
José Luís Bertazzoli - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
DPR Engenharia Assessoria e Consultoria em Projetos da Área Petrolífera Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Situ Terapia Celular Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tech Inovações Tecnológicas para a Agropecuária S/A,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Engrenar Tecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
DRSC Soluções Tecnológicas Inteligentes Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Gustavo Trindade Valio,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Confiance Gestão Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Edenizia Tavares Chaves Lucas,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Meteoia Datascience Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Teccer Indústria e Comércio de Produtos Cerâmicos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vet Up Educação Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
DRSC Soluções Tecnológicas Inteligentes Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Zebradvances Pesquisa e Consultoria em Rastreio Toxicológico Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Immunodot Indústria e Pesquisa de Produtos para Diagnóstico Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Alchemy Inovação, Pesquisa e Desenvolvimento Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brax Indústria e Comércio de Máquinas e Equipamentos Eletrônicos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Accert Indústria, Comércio, Importação e Exportação em Química e Biotecnologia Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Figlabs Pesquisa e Desenvolvimento Ltda (Figlabs),Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sustentare Gestão e Treinamento Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brax Indústria e Comércio de Máquinas e Equipamentos Eletrônicos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Rodrigo Aznar Mendes,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agririsk Soluções em Gerenciamento de Risco Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Rodrigo Aznar Mendes,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Rodrigues e Amorim Serviços Aquícolas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Vert Pesquisa, Desenv. Experimental Ciências Físicas Naturais Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Rubian Xtract Serviços Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dietech Automação Industrial e Robótica Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inova Serviços de Digitalização e Preparação de Documentos Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Geomap Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nchemi Engenharia de Materiais Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inova Serviços de Digitalização e Preparação de Documentos Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Umbu Negócios Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Capillare Serviços de Pesquisa e Inovação Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Enterup Tecnologia em Sistemas Ltda - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Enterup Tecnologia em Sistemas Ltda - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kairos Lab Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inovafi - Física Aplicada a Inovação Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Doppia M Projetos Socioculturais e Serviços Administrativos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Afinko Soluções em Polímeros Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mupi Tecnologia e Serviços de Informação Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nano Ink Pesquisa e Desenvolvimento em Bioquímica Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ideelab Biotecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Treevia Serviços de Engenharia Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Osteovita Biotecnologia Eireli,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Hevoise F. Papini Serviços de Nutrição - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioativos Naturais Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Extraminer Comércio e Indústria de Minérios e Serviços Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brazilian Nano Feed Pesquisa e Desenvolvimento de Aditivos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Biotech-Space Rede de Pesquisadores de Biotecnologia e Biociências Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Decoy Tecnologia em Controle de Pragas S/A,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Citi Industrial Systems Eireli - EPP,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
